Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
192,Middle frontal gyrus posterior RH,ContA,ContB,0.6124279860513981,0.27007495541246196,0.08425589770850622
193,Lingual gyrus middle,VisCent,VisCent,0.7868919984323905,0.09230067122375277,0.12051517483344916
194,Lateral occipital cortex,VisCent,DorsAttnA,0.6807453707507088,0.15359567163423643,0.1217838139644064
195,Lingual gyrus,VisCent,VisPeri,0.6574213646314424,0.06943457453308635,0.271804365880744
196,Superior frontal gyrus posterior RH,DorsAttnB,DorsAttnB,0.6686780412412467,0.19988926401865098,0.12231400157272532
197,"Parieto-occipital sulcus, posterior",VisCent,VisPeri,0.5054782852993357,0.39267915323172586,0.10104069056053502
198,Cerebrospinal fluid (between paracentral lobule and skull),SomMotA,SomMotA,0.33870802460837796,0.10239582079271192,0.11756413868124269
199,Putamen and globus pallidus,No network found,No network found,0.21534643401354442,0.7846247454600559,4.201968676302718e-05
200,Cerebellum V,No network found,No network found,0.8039740708025214,0.1517813491716195,0.04425499319995071
201,Cingulate sulcus posterior,SomMotA,SomMotA,0.704381555313804,0.13466997726292754,0.16096687786944144
202,Cerebrospinal fluid (between middle frontal gyrus and skull),ContA,SalVentAttnB,0.36955795208765735,0.011697137140653764,0.14371268165604936
203,Fusiform gyrus RH,VisCent,VisCent,0.5516754848155933,0.4253345851633434,0.0229990402148771
204,Planum temporale RH,SomMotA,SomMotB,0.6882784858144306,0.20185008341243732,0.1017104140221176
205,"Pericallosal sulcus, middle",ContA,ContC,0.5906868993298116,0.32734490890184537,0.08196787499871816
206,Thalamus ventral,No network found,No network found,0.4787610534753937,0.47695257677340613,0.044295963957601256
207,Posterior middle frontal gyrus,SalVentAttnA,SalVentAttnA,0.3167091746248546,0.6792508058598803,0.004037234341494627
208,Superior parietal lobule superior,DorsAttnB,DorsAttnA,0.5379517458284848,0.28625536846857286,0.1360470552790844
209,Cerebellum Crus I posterior LH,No network found,No network found,0.797584786748431,0.16603964526269385,0.034533649019260176
210,Precentral sulcus inferior RH,DorsAttnB,ContA,0.6888362083731272,0.20800566675379328,0.0965637186901877
211,Cerebellum VI RH,VisCent,VisCent,0.8814686841012922,0.023654614928864375,0.09487606386528341
212,Inferior temporal sulcus posterior LH,DorsAttnB,DorsAttnA,0.6797190881078737,0.2830158834422991,0.0361410482257239
213,Lingual gyrus anterior,VisCent,VisPeri,0.6350910004035237,0.0463823956212965,0.3185263553565477
214,Middle frontal gyrus anterior,ContA,SalVentAttnB,0.5838355868329177,0.35663571392225296,0.05659526821032297
215,Superior parietal lobule,DorsAttnB,DorsAttnA,0.4877163231973379,0.39994763401133043,0.10584370457847467
216,Parieto-occipital sulcus superior,VisCent,ContC,0.5620043509375084,0.2424575907286849,0.17421011038377363
217,Superior temporal gyrus anterior,LimbicA,LimbicA,0.6449157488756043,0.039540071188273296,0.31240756196781705
218,Precuneus inferior,DefaultB,DefaultA,0.694214997783843,0.1963555169172256,0.10941674001905997
219,Paracentral lobule,SomMotA,SomMotA,0.5629393860639671,0.1890777933707786,0.24794014049713575
220,Occipital horn of lateral ventricles,No network found,No network found,0.2729355274782518,0.2921970428324026,0.43485819603790293
221,Precentral sulcus superior LH,DorsAttnB,DorsAttnB,0.5755936062070164,0.27849100871713367,0.10193632678987954
222,Calcarine sulcus anterior,VisCent,VisPeri,0.6707388677171566,0.262245174119643,0.06700481057892345
223,Cerebellum VI superior,VisCent,VisPeri,0.6267151768126176,0.010140320974074123,0.35909417396782445
224,Putamen,No network found,No network found,0.5015742757523969,0.4983920001222789,2.210781383611092e-05
225,Middle temporal gyrus middle RH,DefaultB,TempPar,0.6989246188789658,0.24647987468604565,0.051368364681794225
226,Anterior insula dorsal,SalVentAttnA,SalVentAttnA,0.6982675808560646,0.2538424046384996,0.047888565990348235
227,Parietal operculum LH,SalVentAttnA,TempPar,0.6189118311730164,0.28920516099738164,0.0845960783021224
228,Thalamus,No network found,No network found,0.6925277408237714,0.30635849860782044,0.0011164645770692467
229,Dorsomedial prefrontal cortex posterior,DefaultB,ContB,0.6448858920351784,0.11095060376865913,0.24061688714192575
230,Superior temporal sulcus posterior RH,SalVentAttnA,TempPar,0.5970945197450735,0.34714082407465136,0.05402645530393514
231,Posterior corona radiata LH,No network found,No network found,0.020001346950036514,0.979960318741374,4.1729723860817254e-05
232,Pars opercularis,SalVentAttnA,ContA,0.6994211746145345,0.17973297054798937,0.11166235817286073
233,Cerebellum VI anterior,No network found,No network found,0.8516254201985564,0.042262486529909174,0.10409123632364109
234,Superior occipital sulcus LH,DorsAttnB,DorsAttnA,0.5870328249136455,0.3298247499050859,0.0824573886237584
235,Dorsomedial prefrontal cortex anterior,DefaultB,DefaultB,0.6573458790858046,0.14893471729183524,0.18910696230190413
236,Pars orbitalis RH,DefaultB,DefaultB,0.6629559468355921,0.23501102652260286,0.0779776736558827
237,Occipitotemporal gyrus anterior,VisCent,DefaultC,0.7487649100310698,0.19765062091565355,0.05355880191843722
238,Calcarine sulcus anterior,VisCent,VisPeri,0.6918128485751281,0.23159786188463885,0.0765970475550475
239,Precentral gyrus middle,SomMotA,SomMotB,0.5796465870611669,0.3257863240654035,0.08242330233930165
240,Lateral occipital cortex inferior,VisCent,VisCent,0.6289343585856195,0.30078450057863987,0.059332116998609866
241,Precuneus posterior,ContA,ContC,0.6495858698417568,0.1861628731529846,0.1600374302267602
242,Anterior horizontal ramus lateral fissure RH,SalVentAttnA,SalVentAttnB,0.6854438279463787,0.20093088661775943,0.09844362549397105
243,Postcentral sulcus middle RH,SomMotA,SomMotA,0.42527899368007926,0.5105082338150418,0.05970546866895021
244,Ventromedial prefrontal cortex anterior,DefaultB,DefaultA,0.6458658812299739,0.14301174371176675,0.20798099427186992
